t,i
1.724,158.68
1.735,158.73
1.745,158.98
1.756,158.89
1.767,159.17
1.777,158.71
1.788,158.34
1.798,158.58
1.809,158.63
1.819,158.54
1.83,158.66
1.841,158.2
1.851,158.34
1.862,158.29
1.872,157.75
1.883,158.12
1.893,157.87
1.904,157.64
1.915,157.76
1.925,157.9
1.936,157.7
1.946,157.18
1.957,157.8
1.968,158.29
1.978,158.24
1.989,158.27
1.999,158.32
2.01,158.11
2.02,157.99
2.031,158.17
2.042,157.89
2.052,157.82
2.063,157.61
2.073,158.15
2.084,157.81
2.094,157.6
2.105,158.16
2.116,158.08
2.126,157.63
2.137,157.73
2.147,157.79
2.158,158.48
2.168,161.33
2.179,163.45
2.19,164.31
2.2,165
2.211,164.69
2.221,164.82
2.232,164.27
2.243,163.5
2.253,163.43
2.264,162.97
2.274,162.73
2.285,162.63
2.295,162.12
2.306,161.59
2.317,161.44
2.327,161.31
2.338,160.61
2.348,160.78
2.359,160.17
2.369,159.77
2.38,160.33
2.391,159.94
2.401,159.88
2.412,159.75
2.422,159.26
2.433,159.3
2.444,159.35
2.454,158.78
2.465,158.86
2.475,158.8
2.486,159.51
2.496,159.37
2.507,158.59
2.518,159.43
2.528,159.25
2.539,158.99
2.549,158.86
2.56,158.43
2.57,158.65
2.581,158.49
2.592,158.52
2.602,158.37
2.613,157.99
2.623,158.27
2.634,158.13
2.644,158.37
2.655,158.14
2.666,158.24
2.676,157.81
2.687,158.26
2.697,158.38
2.708,157.5
2.719,157.68
2.729,157.92
2.74,157.73
2.75,158.14
2.761,158.53
2.771,158.1
2.782,158.54
2.793,158.41
2.803,158.35
2.814,158.43
2.824,158.04
2.835,157.81
2.845,158.13
2.856,158.47
2.867,157.82
2.877,158.11
2.888,157.28
2.898,158.16
2.909,157.93
2.92,157.35
2.93,157.71
2.941,157.18
2.951,157.11
2.962,157.32
2.972,157.05
2.983,156.64
2.994,156.97
3.004,157.16
3.015,157.07
3.025,157.33
3.036,158.09
3.046,157.74
3.057,157.31
3.068,157.85
3.078,157.89
3.089,157.54
3.099,157.74
3.11,157.93
3.121,160.78
3.131,163.26
3.142,164.39
3.152,164.72
3.163,164.65
3.173,164.08
3.184,163.16
3.195,162.87
3.205,162.5
3.216,162.64
3.226,162.37
3.237,162.37
3.247,161.09
3.258,161.37
3.269,161.74
3.279,161.37
3.29,161.5
3.3,160.77
3.311,160.91
3.321,160.28
3.332,160.63
3.343,159.96
3.353,160.37
3.364,160.02
3.374,160.47
3.385,160.47
3.396,160.03
3.406,160.11
3.417,159.8
3.427,159.95
3.438,160.31
3.448,159.91
3.459,159.44
3.47,159.46
3.48,159.51
3.491,159.25
3.501,159.03
3.512,158.58
3.522,158.39
3.533,158.51
3.544,158.18
3.554,158.56
3.565,158.36
3.575,158.35
3.586,158.26
3.597,157.96
3.607,158.11
3.618,158.55
3.628,158.37
3.639,158.49
3.649,158
3.66,157.64
3.671,157.72
3.681,157.83
3.692,157.71
3.702,157.8
3.713,157.76
3.723,157.64
3.734,156.92
3.745,157.17
3.755,157.17
3.766,156.86
3.776,156.19
3.787,157.39
3.798,157.83
3.808,157.15
3.819,157.37
3.829,157.38
3.84,157.08
3.85,157.34
3.861,156.96
3.872,156.51
3.882,157.31
3.893,157.13
3.903,157.03
3.914,156.93
3.924,156.94
3.935,156.72
3.946,156.44
3.956,156.79
3.967,156.51
3.977,156.52
3.988,156.36
3.998,155.89
4.009,156.51
4.02,156.24
4.03,157.02
4.041,156.89
4.051,157.35
4.062,157.61
4.073,159.95
4.083,162.13
4.094,163.22
4.104,163.15
4.115,163.32
4.125,163.5
4.136,163.42
4.147,163.46
4.157,162.21
4.168,161.96
4.178,161.83
4.189,161.44
4.199,161.64
4.21,161.19
4.221,160.73
4.231,160.69
4.242,160.54
4.252,159.95
4.263,160.41
4.274,160.24
4.284,160.16
4.295,159.79
4.305,159.54
4.316,159.22
4.326,159.84
4.337,159.21
4.348,159.01
4.358,159.83
4.369,159.07
4.379,159.26
4.39,159.69
4.4,160.27
4.411,159.33
4.422,159.11
4.432,159.15
4.443,159.27
4.453,159.4
4.464,158.4
4.474,158.99
4.485,159.24
4.496,158.73
4.506,158.67
4.517,158.65
4.527,158.12
4.538,157.89
4.549,157.9
4.559,157.8
4.57,157.73
4.58,157.52
4.591,156.97
4.601,157.42
4.612,157.65
4.623,157.51
4.633,157.8
4.644,158.47
4.654,158.49
4.665,158.09
4.675,158.02
4.686,157.67
4.697,157.85
4.707,158.06
4.718,157.72
4.728,157.66
4.739,157.45
4.75,158.39
4.76,158.16
4.771,158.02
4.781,158.04
4.792,157.61
4.802,157.95
4.813,157.81
4.824,157.28
4.834,157.24
4.845,157.27
4.855,157.54
4.866,157.76
4.876,157.79
4.887,158.01
4.898,157.62
4.908,157.45
4.919,157.49
4.929,157.14
4.94,157.68
4.951,157.97
4.961,157.42
4.972,157.18
4.982,157.7
4.993,157.63
5.003,157.42
5.014,157.51
5.025,160.44
5.035,162.85
5.046,163.8
5.056,164.09
5.067,164.16
5.077,164.4
5.088,164.44
5.099,163.5
5.109,163.72
5.12,162.84
5.13,162.97
5.141,162.82
5.151,162.56
5.162,162.44
5.173,161.97
5.183,161.7
5.194,160.86
5.204,160.4
5.215,160.25
5.226,159.96
5.236,159.87
5.247,159.71
5.257,159.78
5.268,159.81
5.278,159.48
5.289,159.4
5.3,159.45
5.31,159.38
5.321,159.38
5.331,159.11
5.342,158.8
5.352,159.03
5.363,158.83
5.374,158.56
5.384,158.91
5.395,158.72
5.405,159.05
5.416,158.61
5.427,159.62
5.437,159.07
5.448,158.88
5.458,158.63
5.469,158.73
5.479,158.59
5.49,158.79
5.501,158.97
5.511,158.64
5.522,159.29
5.532,159.04
5.543,158.64
5.553,158.51
5.564,157.8
5.575,158.33
5.585,157.37
5.596,158.18
5.606,157.7
5.617,157.62
5.627,157.95
5.638,157.43
5.649,157.65
5.659,157.39
5.67,157.47
5.68,156.91
5.691,157.5
5.702,157.95
5.712,157.41
5.723,157.88
5.733,157.37
5.744,156.68
5.754,157.61
5.765,157.38
5.776,157.18
5.786,157.18
5.797,156.84
5.807,157.17
5.818,157.07
5.828,157.07
5.839,156.83
5.85,156.85
5.86,157.08
5.871,157.13
5.881,157.03
5.892,157.19
5.903,157.05
5.913,157.72
5.924,156.8
5.934,156.43
5.945,157.2
5.955,157.04
5.966,157.29
5.977,159.73
5.987,161.68
5.998,162.49
6.008,163.89
6.019,164.02
6.029,163.72
6.04,163.2
6.051,162.6
6.061,162.47
6.072,162.04
6.082,161.32
6.093,161.47
6.104,160.83
6.114,160.73
6.125,160.46
6.135,160.9
6.146,160.22
6.156,159.8
6.167,159.99
6.178,159.92
6.188,159.8
6.199,159.5
6.209,159.48
6.22,159.04
6.23,158.98
6.241,159.49
6.252,158.67
6.262,159.15
6.273,159.02
6.283,158.58
6.294,158.65
6.304,158.69
6.315,158.87
6.326,158.45
6.336,158.31
6.347,158.64
6.357,158.55
6.368,158.65
6.379,158.64
6.389,158.08
6.4,158.31
6.41,158.35
6.421,158.5
6.431,158.53
6.442,158.35
6.453,158.61
6.463,158.59
6.474,158.16
6.484,158.64
6.495,158.36
6.505,158.37
6.516,158.69
6.527,158.52
6.537,158.22
6.548,158.38
6.558,157.9
6.569,158.48
6.58,157.71
6.59,158.41
6.601,158.28
6.611,158.54
6.622,158.3
6.632,158.21
6.643,158.36
6.654,157.98
6.664,158.57
6.675,157.8
6.685,158.59
6.696,158.73
6.706,158.36
6.717,158.51
6.728,159.09
6.738,158.88
6.749,158.29
6.759,158.61
6.77,158.6
6.78,158.53
6.791,158.23
6.802,157.77
6.812,157.66
6.823,157.59
6.833,157.64
6.844,157.6
6.855,157.97
6.865,158.16
6.876,157.73
6.886,158.03
6.897,157.93
6.907,158.5
6.918,158.7
6.929,161.62
6.939,164.23
6.95,164.9
6.96,164.63
6.971,165.15
6.981,164.83
6.992,164.64
7.003,164.66
7.013,165.22
7.024,164.54
7.034,164.04
7.045,163.1
7.056,162.65
7.066,162.78
7.077,162.31
7.087,162.23
7.098,162.53
7.108,162.19
7.119,162.15
7.13,162.48
7.14,161.4
7.151,161.57
7.161,161.12
7.172,161.43
7.182,161.59
7.193,161.15
7.204,160.61
7.214,161.01
7.225,161.65
7.235,161.09
7.246,161.17
7.257,160.65
7.267,161.07
7.278,160.57
7.288,160.62
7.299,160.52
7.309,160.39
7.32,160.72
7.331,159.99
7.341,160.04
7.352,160.28
7.362,159.84
7.373,159.44
7.383,159.58
7.394,159.45
7.405,159.48
7.415,159.91
7.426,159.46
7.436,159.83
7.447,159.33
7.457,159.57
7.468,159.31
7.479,159.36
7.489,159.12
7.5,159.66
7.51,159.54
7.521,159.52
7.532,159
7.542,158.59
7.553,159.27
7.563,159.71
7.574,159.15
7.584,158.92
7.595,158.82
7.606,159.16
7.616,158.77
7.627,159.33
7.637,159.13
7.648,158.84
7.658,159.21
7.669,158.51
7.68,158.12
7.69,158.32
7.701,157.7
7.711,158.18
7.722,158.06
7.733,158.38
7.743,158.69
7.754,158.48
7.764,158.15
7.775,158.9
7.785,158.63
7.796,158.67
7.807,159.4
7.817,158.59
7.828,159.12
7.838,159.3
7.849,159.59
7.859,159.17
7.87,159.56
7.881,161.87
7.891,163.11
7.902,164.42
7.912,164.53
7.923,164.08
7.934,163.82
7.944,164.13
7.955,164.53
7.965,163.96
7.976,163.07
7.986,163.02
7.997,163.24
8.008,162.79
8.018,162.09
8.029,162.49
8.039,161.81
8.05,161.73
8.06,161.53
8.071,161.17
8.082,161.1
8.092,160.91
8.103,160.43
8.113,160.21
8.124,159.99
8.134,160.25
8.145,160.07
8.156,160.18
8.166,159.66
8.177,159.67
8.187,159.27
8.198,159.54
8.209,160.23
8.219,159.76
8.23,158.68
8.24,159.71
8.251,159.4
8.261,158.99
8.272,159.37
8.283,158.9
8.293,159.01
8.304,159.36
8.314,159.21
8.325,159.14
8.335,159.15
8.346,159.12
8.357,159.1
8.367,158.91
8.378,158.54
8.388,158.26
8.399,158.16
8.41,158.73
8.42,158.91
8.431,158.28
8.441,158.67
8.452,158.49
8.462,158.01
8.473,158.28
8.484,158.22
8.494,158.14
8.505,157.67
8.515,158.21
8.526,158.87
8.536,158.48
8.547,158.22
8.558,157.86
8.568,158.23
8.579,158
8.589,157.88
8.6,157.98
8.61,158.23
8.621,158.31
8.632,157.95
8.642,158.23
8.653,158.79
8.663,159.26
8.674,158.28
8.685,157.79
8.695,157.62
8.706,157.15
8.716,158.01
8.727,158.34
8.737,158.57
8.748,158.5
8.759,158.41
8.769,157.97
8.78,157.66
8.79,158.61
8.801,157.91
8.811,158.17
8.822,158.1
8.833,161.63
8.843,163.53
8.854,164.26
8.864,164.38
8.875,164.27
8.886,163.52
8.896,163.67
8.907,163.82
8.917,163.04
8.928,162.74
8.938,162.55
8.949,161.72
8.96,161.56
8.97,161.6
8.981,161.38
8.991,160.74
9.002,161.03
9.012,160.65
9.023,160.27
9.034,160.83
9.044,160.41
9.055,160.26
9.065,160.22
9.076,159.79
9.087,159.64
9.097,159.67
9.108,159.92
9.118,159.23
9.129,159.03
9.139,159.08
9.15,159.06
9.161,159.07
9.171,159.2
9.182,158.59
9.192,159.31
9.203,158.63
9.213,158.52
9.224,158.69
9.235,158.56
9.245,159.23
9.256,158.74
9.266,159.14
9.277,158.69
9.287,158.65
9.298,159.01
9.309,159.27
9.319,158.57
9.33,158.72
9.34,159.26
9.351,158.84
9.362,158.22
9.372,158.57
9.383,158.23
9.393,158.88
9.404,158.33
9.414,158.62
9.425,157.99
9.436,158.84
9.446,157.88
9.457,158.18
9.467,158.05
9.478,158.05
9.488,158.09
9.499,158.12
9.51,157.97
9.52,157.6
9.531,158.05
9.541,158.37
9.552,157.71
9.563,158.52
9.573,158.01
9.584,157.58
9.594,157.69
9.605,158.09
9.615,158.43
9.626,158.04
9.637,157.81
9.647,158.15
9.658,158.63
9.668,158.15
9.679,157.46
9.689,158.14
9.7,157.98
9.711,158.19
9.721,158.29
9.732,157.44
9.742,158.33
9.753,158.62
9.763,158.2
9.774,158.52
9.785,160.65
9.795,162.74
9.806,163.39
9.816,164.64
9.827,164.29
9.838,164.72
9.848,164.02
9.859,163.8
9.869,163.44
9.88,163.26
9.89,162.41
9.901,162.6
9.912,162.02
9.922,161.6
9.933,160.64
9.943,161.3
9.954,160.71
9.964,160.36
9.975,160.32
9.986,160.08
9.996,159.92
10.007,159.82
10.017,159.39
10.028,159.06
10.039,159.11
10.049,159.44
10.06,158.64
10.07,158.57
10.081,159.25
10.091,158.84
10.102,158.84
10.113,158.89
10.123,158.56
10.134,159.07
10.144,158.49
10.155,158.1
10.165,158.01
10.176,158.36
10.187,157.78
10.197,158.41
10.208,157.34
10.218,158.09
10.229,158.04
10.24,158.09
10.25,157.49
10.261,157.62
10.271,157.1
10.282,156.99
10.292,157.62
10.303,158.05
10.314,157.75
10.324,157.79
10.335,158.12
10.345,157.78
10.356,157.6
10.366,158.03
10.377,157.45
10.388,157.91
10.398,157.46
10.409,157.62
10.419,157.2
10.43,157.93
10.44,157.77
10.451,158.2
10.462,157.88
10.472,157.99
10.483,158.07
10.493,157.61
10.504,157.9
10.515,157.38
10.525,157.38
10.536,157.25
10.546,157.29
10.557,157.57
10.567,157.5
10.578,157.17
10.589,156.86
10.599,157.54
10.61,157.45
10.62,157.09
10.631,157.35
10.641,157.95
10.652,157.67
10.663,157.68
10.673,157.68
10.684,157.38
10.694,157.57
10.705,157.08
10.716,157.87
10.726,157.91
10.737,159.98
10.747,162.42
10.758,162.92
10.768,163.59
10.779,164.32
10.79,163.52
10.8,163.26
10.811,162.92
10.821,162.43
10.832,162.05
10.842,161.09
10.853,161.05
10.864,161.28
10.874,161.03
10.885,160.65
10.895,160.48
10.906,160.09
10.916,159.3
10.927,159.61
10.938,159.22
10.948,158.76
10.959,158.25
10.969,159.24
10.98,158.93
10.991,158.87
11.001,158.92
11.012,158.81
11.022,159.43
11.033,159.26
11.043,158.81
11.054,159.39
11.065,158.53
11.075,158.77
11.086,158.51
11.096,158
11.107,158.53
11.117,158.67
11.128,158.29
11.139,158.52
11.149,158.03
11.16,157.87
11.17,157.74
11.181,158.24
11.192,157.7
11.202,157.32
11.213,157.46
11.223,157.56
11.234,157.35
11.244,157.55
11.255,158.02
11.266,157.69
11.276,157.09
11.287,157.96
11.297,157.5
11.308,157.98
11.318,157.59
11.329,158.05
11.34,157.65
11.35,157.37
11.361,157.08
11.371,157.18
11.382,156.87
11.393,156.96
11.403,157.19
11.414,156.85
11.424,157.42
11.435,157.04
11.445,156.9
11.456,157.2
11.467,157.14
11.477,157.03
11.488,156.7
11.498,157.44
11.509,157.13
11.519,156.78
11.53,157.26
11.541,156.53
11.551,156.54
11.562,156.82
11.572,156.91
11.583,157.28
11.593,157.02
11.604,156.27
11.615,157.33
11.625,157.54
11.636,157.28
11.646,157.32
11.657,157.29
11.668,157.26
11.678,157.96
11.689,160.67
11.699,162.32
11.71,163.28
11.72,163.94
11.731,164.14
11.742,164.19
11.752,164
11.763,163.63
11.773,162.54
11.784,162.8
11.794,161.95
11.805,161.96
11.816,161.34
11.826,161.3
11.837,161.42
11.847,161.43
11.858,161.37
11.869,160.89
11.879,160.81
11.89,161.05
11.9,160.55
11.911,159.92
11.921,159.3
11.932,159.75
11.943,159.25
11.953,159.08
11.964,159.22
11.974,159.07
11.985,159
11.995,158.38
12.006,158.37
12.017,158.47
12.027,158.79
12.038,159.23
12.048,158.83
12.059,158.51
12.069,158.43
12.08,158.31
12.091,157.81
12.101,157.47
12.112,157.7
12.122,157.36
12.133,157.74
12.144,157.99
12.154,157.15
12.165,157.2
12.175,158.04
12.186,157.67
12.196,157.56
12.207,158.14
12.218,157.98
12.228,158.14
12.239,157.78
12.249,158.05
12.26,158.19
12.27,157.71
12.281,157.69
12.292,157.7
12.302,157.61
12.313,157.78
12.323,157.64
12.334,157.49
12.345,157.58
12.355,157.86
12.366,158.2
12.376,157.42
12.387,157.36
12.397,157.28
12.408,157.52
12.419,157.91
12.429,158.13
12.44,157.59
12.45,158.15
12.461,158.14
12.471,157.7
12.482,158.03
12.493,158.07
12.503,158.14
12.514,158.27
12.524,157.41
12.535,157.54
12.546,158.15
12.556,157.59
12.567,158.01
12.577,157.89
12.588,158.11
12.598,158.12
12.609,158.15
12.62,157.73
12.63,157.7
12.641,160.52
12.651,161.76
12.662,163.04
12.672,163.01
12.683,162.42
12.694,162.27
12.704,161.56
12.715,161.31
12.725,161.31
12.736,161.21
12.746,160.81
12.757,161.96
12.768,161.23
12.778,161.08
12.789,159.47
12.799,160.17
12.81,160.07
12.821,159.52
12.831,158.92
12.842,159.11
12.852,159.23
12.863,158.64
12.873,159.03
12.884,159.21
12.895,159.18
12.905,158.84
12.916,158.75
12.926,159.38
12.937,159.56
12.947,158.89
12.958,159.26
12.969,160.02
12.979,158.99
12.99,158.87
13,159.11
13.011,158.41
13.022,159.09
13.032,158.75
13.043,159.31
13.053,159.02
13.064,159.06
13.074,158.76
13.085,158.59
13.096,157.78
13.106,157.92
13.117,158.38
13.127,158.07
13.138,158.39
13.148,158.02
13.159,157.87
13.17,158.11
13.18,157.74
13.191,158.21
13.201,157.76
13.212,157.73
13.223,157.72
13.233,157.73
13.244,157.34
13.254,157.46
13.265,157.92
13.275,157.65
13.286,157.23
13.297,157.5
13.307,157.53
13.318,157.74
13.328,157.44
13.339,157.72
13.349,157.59
13.36,156.59
13.371,157.46
13.381,157.23
13.392,157.34
13.402,157.23
13.413,157.25
13.423,157.57
13.434,157.35
13.445,157.51
13.455,157.72
13.466,157.94
13.476,157.56
13.487,158.22
13.498,157.8
13.508,157.68
13.519,157.37
13.529,157.45
13.54,157.79
13.55,157.01
13.561,156.92
13.572,156.96
13.582,157.68
13.593,160.71
13.603,162.63
13.614,162.95
13.624,163.51
13.635,163.6
13.646,162.8
13.656,163.66
13.667,163.41
13.677,162.62
13.688,162.17
13.699,162.21
13.709,162.34
13.72,161.5
13.73,161.25
13.741,161.23
13.751,160.94
13.762,160.77
13.773,160.54
13.783,160.52
13.794,160.19
13.804,159.54
13.815,159
13.825,158.65
13.836,158.8
13.847,158.89
13.857,158.78
13.868,159.05
13.878,158.9
13.889,158.46
13.899,158.8
13.91,158.52
13.921,157.97
13.931,158.23
13.942,158.49
13.952,157.46
13.963,158.41
13.974,158.09
13.984,158.37
13.995,157.94
14.005,157.88
14.016,157.33
14.026,157.46
14.037,158.21
14.048,157.78
14.058,157.36
14.069,158.02
14.079,158.15
14.09,157.64
14.1,157.82
14.111,158.16
14.122,158.08
14.132,157.69
14.143,157.01
14.153,157.15
14.164,157.47
14.175,157.8
14.185,157.84
14.196,157.54
14.206,157.1
14.217,157.62
14.227,157.75
14.238,157.76
14.249,157.19
14.259,157.72
14.27,157.46
14.28,157.87
14.291,158.08
14.301,158.04
14.312,157.43
14.323,157.69
14.333,157.89
14.344,157.57
14.354,157.54
14.365,157.52
14.376,156.99
14.386,157.42
14.397,157
14.407,157.22
14.418,158.77
14.428,158.72
14.439,158.43
14.45,158.23
14.46,158.06
14.471,158.3
14.481,157.7
14.492,158.23
14.502,158.03
14.513,158.22
14.524,157.62
14.534,157.93
14.545,161.06
14.555,162.43
14.566,163.64
14.576,164.49
14.587,163.44
14.598,163.32
14.608,163.23
14.619,163.47
14.629,162.79
14.64,162.39
14.651,162.12
14.661,161.86
14.672,161.68
14.682,161.15
14.693,160.98
14.703,160.78
14.714,160.48
14.725,159.95
14.735,159.94
14.746,159.83
14.756,159.76
14.767,159.69
14.777,160.08
14.788,160.33
14.799,159.4
14.809,159.12
14.82,159.06
14.83,159.52
14.841,159.34
14.852,158.51
14.862,158.89
14.873,158.96
14.883,158.33
14.894,158.17
14.904,158.3
14.915,158.11
14.926,158.85
14.936,158.11
14.947,158.45
14.957,158.25
14.968,158.72
14.978,158.15
14.989,158.21
15,158.48
15.01,158.35
15.021,158.62
15.031,158.31
15.042,159.06
15.052,158.53
15.063,158.25
15.074,158.93
15.084,158.57
15.095,158.55
15.105,158.45
15.116,157.76
15.127,158.21
15.137,158.08
15.148,158.05
15.158,157.91
15.169,158.15
15.179,158.16
15.19,157.54
15.201,158.05
15.211,157.69
15.222,157.9
15.232,157.96
15.243,157.8
15.253,157.43
15.264,157.41
15.275,157.79
15.285,157.7
15.296,157.75
15.306,157.47
15.317,157.08
15.328,157.57
15.338,157.2
15.349,157.2
15.359,156.83
15.37,157.37
15.38,157.66
15.391,157.66
15.402,157.01
15.412,157.13
15.423,157.43
15.433,157.01
15.444,157.28
15.454,157.03
15.465,157.31
15.476,157.22
15.486,156.96
15.497,160.37
15.507,162.71
15.518,163.55
15.529,164.41
15.539,164.57
15.55,163.91
15.56,163.96
15.571,163.67
15.581,163.38
15.592,162.61
15.603,162.4
15.613,162.27
15.624,162.75
15.634,161.91
15.645,161.7
15.655,161.8
15.666,161.28
15.677,160.66
15.687,160.68
15.698,159.97
15.708,160.48
15.719,159.76
15.729,160.54
15.74,159.84
15.751,160.02
15.761,159.6
15.772,159.62
15.782,159.87
15.793,159.59
15.804,159.68
15.814,159.34
15.825,158.89
15.835,158.94
15.846,159.04
15.856,158.97
15.867,159.24
15.878,158.48
15.888,158.55
15.899,157.89
15.909,158.61
15.92,159.04
15.93,158.56
15.941,159.01
15.952,158.52
15.962,158.85
15.973,158.34
15.983,158.4
15.994,158.19
16.005,158.55
16.015,158
16.026,158.02
16.036,157.92
16.047,158.41
16.057,158.01
16.068,158.01
16.079,157.91
16.089,158.62
16.1,157.45
16.11,158.37
16.121,158.79
16.131,157.9
16.142,157.68
16.153,157.2
16.163,157.13
16.174,157.11
16.184,156.65
16.195,156.55
16.205,156.04
16.216,156.22
16.227,156.47
16.237,156.72
16.248,156.68
16.258,156.44
16.269,157.12
16.28,156.43
16.29,156.67
16.301,156.8
16.311,156.65
16.322,156.49
16.332,156.45
16.343,156.64
16.354,156.55
16.364,156.79
16.375,156.58
16.385,156.64
16.396,156.02
16.406,156.64
16.417,156.09
16.428,156.55
16.438,157.14
16.449,160.5
16.459,161.73
16.47,162.94
16.481,163.02
16.491,162.62
16.502,162.16
16.512,162.04
16.523,162.2
16.533,161.8
16.544,161.07
16.555,161.28
16.565,160.98
16.576,160.28
16.586,160.28
16.597,160.04
16.607,160.21
16.618,159.54
16.629,159.39
16.639,159.16
16.65,159.09
16.66,159.48
16.671,159.49
16.682,158.47
16.692,158.77
16.703,158.24
16.713,158.44
16.724,158.37
16.734,157.7
16.745,157.5
16.756,157.06
16.766,157.31
16.777,157.18
16.787,157.71
16.798,157.23
16.808,157.04
16.819,156.47
16.83,157.09
16.84,156.54
16.851,156.61
16.861,156.71
16.872,156.62
16.882,156.59
16.893,157.12
16.904,156.97
16.914,157.07
16.925,157.19
16.935,157.24
16.946,157.07
16.957,156.55
16.967,156.64
16.978,156.46
16.988,156.6
16.999,156.98
17.009,157.33
17.02,156.58
17.031,156.15
17.041,157.04
17.052,156.76
17.062,156.91
17.073,156.44
17.083,156.24
17.094,155.98
17.105,156.38
17.115,156.17
17.126,156.23
17.136,155.1
17.147,156.22
17.158,156.65
17.168,156.16
17.179,156.49
17.189,155.7
17.2,155.76
17.21,155.92
17.221,155.49
17.232,155.99
17.242,156.24
17.253,156.85
17.263,156.13
17.274,156.28
17.284,156.24
17.295,155.97
17.306,155.79
17.316,156.19
17.327,155.93
17.337,156.2
17.348,156.03
17.358,156.49
17.369,156.01
17.38,156.62
17.39,156.31
17.401,159.38
17.411,161.55
17.422,161.61
17.433,162.66
17.443,162.73
17.454,162.33
17.464,161.95
17.475,161.89
17.485,161.38
17.496,161.39
17.507,160.66
17.517,160.36
17.528,160.37
17.538,159.82
17.549,159.42
17.559,159.36
17.57,159.31
17.581,159.28
17.591,159.66
17.602,158.73
17.612,158.34
17.623,157.89
17.634,157.52
17.644,157.99
17.655,158.72
17.665,157.72
17.676,157.97
17.686,157.16
17.697,157.46
17.708,157.08
17.718,157.31
17.729,156.96
17.739,156.74
17.75,157.25
17.76,157.19
17.771,156.88
17.782,156.42
17.792,156.33
17.803,157.12
17.813,157.29
17.824,156.7
17.835,156.33
17.845,156.49
17.856,155.95
17.866,156.72
17.877,156.43
17.887,156.56
17.898,156.72
17.909,156.14
17.919,155.9
17.93,156.08
17.94,155.76
17.951,155.59
17.961,155.68
17.972,155.19
17.983,155.46
17.993,155.12
18.004,155.53
18.014,155.48
18.025,155.26
18.035,156
18.046,156.43
18.057,156.1
18.067,156.36
18.078,156.03
18.088,156.87
18.099,156.43
18.11,156.56
18.12,156.24
18.131,156.56
18.141,156.13
18.152,156.52
18.162,156.77
18.173,157.25
18.184,157.01
18.194,156.95
18.205,156.59
18.215,156.7
18.226,157.1
18.236,156.73
18.247,157.12
18.258,157.01
18.268,156.94
18.279,156.59
18.289,156.83
18.3,157.22
18.311,157.51
18.321,157.27
18.332,157.09
18.342,157.5
18.353,159.89
18.363,161.12
18.374,161.73
18.385,161.95
18.395,162.29
18.406,162.66
18.416,161.93
18.427,161.58
18.437,161.1
18.448,161.18
18.459,160.89
18.469,160.96
18.48,160.12
18.49,160
18.501,159.81
18.512,159.58
18.522,158.9
18.533,158.45
