t,i
1.671,169.77
1.682,169.33
1.692,169.76
1.703,170.25
1.714,169.7
1.724,170.24
1.735,170.57
1.745,169.57
1.756,169.53
1.767,169.37
1.777,170.55
1.788,169.3
1.798,169.88
1.809,170.03
1.819,169.97
1.83,168.93
1.841,170.05
1.851,169.29
1.862,169.94
1.872,169.36
1.883,169.54
1.893,169.57
1.904,168.94
1.915,169.22
1.925,169.12
1.936,169.61
1.946,169.52
1.957,169
1.968,170.11
1.978,169.78
1.989,169.35
1.999,170.19
2.01,169.74
2.02,169.23
2.031,170.16
2.042,170.35
2.052,169.76
2.063,169.7
2.073,169.86
2.084,169.33
2.094,170.72
2.105,174.26
2.116,176.22
2.126,178.29
2.137,180.49
2.147,182.19
2.158,182.31
2.168,183.78
2.179,183.06
2.19,182.8
2.2,182.81
2.211,181.23
2.221,180.84
2.232,180.89
2.243,179.98
2.253,179.47
2.264,178.72
2.274,177.89
2.285,177.47
2.295,176.68
2.306,175.76
2.317,176.15
2.327,175.12
2.338,174.72
2.348,173.15
2.359,173.17
2.369,173.27
2.38,173.01
2.391,172.46
2.401,171.97
2.412,171.96
2.422,171.22
2.433,171.02
2.444,171.03
2.454,170.13
2.465,170.28
2.475,170.62
2.486,170.07
2.496,170.91
2.507,169.8
2.518,170.1
2.528,169.33
2.539,169.26
2.549,169.65
2.56,169.46
2.57,169.09
2.581,169.71
2.592,169.09
2.602,169.2
2.613,168.84
2.623,169.45
2.634,169.42
2.644,169.39
2.655,169.33
2.666,169.37
2.676,168.92
2.687,168.86
2.697,169.28
2.708,169.19
2.719,168.57
2.729,169.54
2.74,168.62
2.75,169.08
2.761,168.88
2.771,168.31
2.782,169.03
2.793,169.01
2.803,169.15
2.814,169.29
2.824,169.62
2.835,169.72
2.845,169.12
2.856,169.95
2.867,170.02
2.877,168.25
2.888,168.47
2.898,169.39
2.909,169.1
2.92,168.8
2.93,168.14
2.941,168.44
2.951,168.45
2.962,168.23
2.972,169.2
2.983,168.9
2.994,168.87
3.004,168.57
3.015,168.6
3.025,168.63
3.036,168.48
3.046,170.69
3.057,173.81
3.068,175.1
3.078,177.86
3.089,179.27
3.099,180.14
3.11,180.65
3.121,181.49
3.131,181.12
3.142,180.64
3.152,180.31
3.163,180.45
3.173,180.1
3.184,179.99
3.195,179.69
3.205,179.61
3.216,178.68
3.226,178.23
3.237,176.84
3.247,177.16
3.258,176.15
3.269,175.62
3.279,174.91
3.29,174.41
3.3,173.94
3.311,174.93
3.321,174.1
3.332,173.4
3.343,173.5
3.353,172.88
3.364,171.92
3.374,171.53
3.385,170.86
3.396,171.78
3.406,170.64
3.417,170.53
3.427,170.84
3.438,170.02
3.448,170.25
3.459,169.4
3.47,169.43
3.48,169.57
3.491,169.47
3.501,169.9
3.512,169.62
3.522,169.24
3.533,169.51
3.544,168.57
3.554,168.97
3.565,168.88
3.575,168.86
3.586,169.54
3.597,168.94
3.607,169.63
3.618,168.55
3.628,169.63
3.639,169.9
3.649,168.86
3.66,167.63
3.671,168.69
3.681,168.67
3.692,168.57
3.702,168.98
3.713,168.61
3.723,168.52
3.734,168.73
3.745,168.63
3.755,168.11
3.766,168.07
3.776,168.37
3.787,168.72
3.798,168.62
3.808,169.13
3.819,169.44
3.829,168.88
3.84,169.16
3.85,169.17
3.861,169.6
3.872,170.39
3.882,169.81
3.893,170.21
3.903,169.92
3.914,169.94
3.924,169.73
3.935,169.37
3.946,169.16
3.956,169.69
3.967,169.56
3.977,169.47
3.988,169.81
3.998,171.95
4.009,174.97
4.02,176.42
4.03,177.68
4.041,179.91
4.051,179.98
4.062,181.21
4.073,181.54
4.083,181.48
4.094,181.01
4.104,180.57
4.115,180.78
4.125,179.07
4.136,178.72
4.147,177.94
4.157,176.86
4.168,176.31
4.178,176.19
4.189,175.81
4.199,174.46
4.21,174.82
4.221,173.77
4.231,174
4.242,173.25
4.252,172.7
4.263,171.96
4.274,172.24
4.284,171.7
4.295,171.1
4.305,171.54
4.316,171.26
4.326,170.03
4.337,170.41
4.348,170.25
4.358,169.82
4.369,169.46
4.379,170
4.39,168.91
4.4,168.66
4.411,168.95
4.422,168.27
4.432,169.35
4.443,168.45
4.453,169.36
4.464,169.3
4.474,168.98
4.485,168.27
4.496,168.28
4.506,169.01
4.517,169.2
4.527,169.25
4.538,169.13
4.549,169.31
4.559,168.9
4.57,168.81
4.58,169.01
4.591,168.85
4.601,169.18
4.612,169.63
4.623,169.92
4.633,169.65
4.644,169.06
4.654,168.82
4.665,169.01
4.675,169.22
4.686,168.82
4.697,168.36
4.707,168.57
4.718,168.84
4.728,168.6
4.739,168.9
4.75,168.35
4.76,168.41
4.771,168.52
4.781,168.42
4.792,168.66
4.802,168.21
4.813,168.48
4.824,168.85
4.834,169.36
4.845,168.62
4.855,168.75
4.866,169.34
4.876,169.21
4.887,169.07
4.898,168.98
4.908,167.87
4.919,168.48
4.929,168.58
4.94,169.28
4.951,172.2
4.961,174.01
4.972,176.1
4.982,178.59
