t,i
2.803,165.51
2.814,164.88
2.824,164.41
2.835,165.23
2.845,165.92
2.856,165.13
2.867,165.48
2.877,165.82
2.888,164.45
2.898,164.54
2.909,165.45
2.92,164.55
2.93,165.04
2.941,165.03
2.951,163.93
2.962,164.57
2.972,164.59
2.983,164.07
2.994,164.28
3.004,163.58
3.015,164.42
3.025,165.2
3.036,164.24
3.046,164.16
3.057,164.57
3.068,163.99
3.078,164.09
3.089,164.94
3.099,165.52
3.11,165.51
3.121,164.18
3.131,164.83
3.142,164.68
3.152,164.83
3.163,164.84
3.173,165.2
3.184,164.69
3.195,164.49
3.205,164.37
3.216,164.24
3.226,164.67
3.237,164
3.247,164.21
3.258,164.18
3.269,164.82
3.279,164.63
3.29,164.83
3.3,165.09
3.311,164.57
3.321,165.1
3.332,165.02
3.343,164.48
3.353,165.13
3.364,164.88
3.374,164.49
3.385,163.96
3.396,164.58
3.406,165.05
3.417,165.06
3.427,164.8
3.438,164.95
3.448,165.44
3.459,164.75
3.47,165.08
3.48,164.35
3.491,164.95
3.501,163.32
3.512,165.06
3.522,165.37
3.533,164.96
3.544,164.67
3.554,164.42
3.565,164.82
3.575,164.67
3.586,164.59
3.597,163.87
3.607,163.9
3.618,164.15
3.628,164.65
3.639,164.69
3.649,164.79
3.66,165.38
3.671,164.8
3.681,165.29
3.692,164.02
3.702,164.32
3.713,164.68
3.723,164.75
3.734,164.46
3.745,164.88
3.755,164.75
3.766,165.17
3.776,164.94
3.787,165.78
3.798,164.83
3.808,164.81
3.819,164.81
3.829,165.48
3.84,164.92
3.85,165.09
3.861,165.65
3.872,164.99
3.882,165.29
3.893,166.07
3.903,165.49
3.914,165.71
3.924,165.73
3.935,165.36
3.946,165.2
3.956,165.81
3.967,165.3
3.977,166.02
3.988,165.22
3.998,165.5
4.009,164.96
4.02,164.3
4.03,164.33
4.041,164.59
4.051,165.3
4.062,165.27
4.073,165.26
4.083,164.96
4.094,163.96
4.104,163.46
4.115,164.2
4.125,164.47
4.136,164.91
4.147,164.75
4.157,164.13
4.168,164.76
4.178,164.92
4.189,164.57
4.199,164.61
4.21,164.88
4.221,165.61
4.231,164.85
4.242,164.45
4.252,165.36
4.263,165.11
4.274,164.65
4.284,164.75
4.295,164.43
4.305,165.01
4.316,164.94
4.326,165.09
4.337,165.3
4.348,165.4
4.358,165.12
4.369,164.64
4.379,164.85
4.39,163.98
4.4,164.37
4.411,164.69
4.422,164.73
4.432,164.95
4.443,164.33
4.453,164.64
4.464,164.08
4.474,164.53
4.485,164.3
4.496,164.91
4.506,164.14
4.517,163.56
4.527,164.09
4.538,163.86
4.549,163.69
4.559,164.19
4.57,163.48
4.58,163.64
4.591,164.54
4.601,164.43
4.612,164.56
4.623,164.65
4.633,164.08
4.644,163.77
4.654,164.25
4.665,164
4.675,164.03
4.686,164.36
4.697,163.77
4.707,164.2
4.718,165.39
4.728,164.66
4.739,164.8
4.75,165.35
4.76,163.94
4.771,164.48
4.781,164.51
4.792,164.43
4.802,164.06
4.813,164.51
4.824,163.98
4.834,163.39
4.845,164.74
4.855,164.01
4.866,164.7
4.876,164.61
4.887,164.2
4.898,163.6
4.908,163.66
4.919,164.51
4.929,163.69
4.94,164.14
4.951,163.57
4.961,164.67
4.972,164.04
4.982,163.44
